Sport1,League1,Sport2,League2,Sport3,League3
"Tennis","","Tennis","","Tennis","WTA 500"
"Soccer","El Salvador Primera Division","Soccer",""
"Soccer","","Soccer","UEFA Nations League B","Soccer","UEFA Nations League B"
"Soccer","","Soccer","UEFA Nations League B","Soccer","UEFA Nations League B"
"Soccer","El Salvador Primera Division","Soccer",""
"Soccer","Asian Games W","Soccer","","Soccer","Asian Games W"
"Soccer","Asian Games W","Soccer",""
"Soccer","","Soccer","El Salvador Primera Division"
"Tennis","","Tennis","","Tennis","WTA 500"
"Soccer","","Soccer","","Soccer","UEFA Nations League B"
