Sport,LeagueRaw
"Soccer","International Other Competitions Soccer"
"Soccer","Other Competitions Soccer"
"Tennis","ATP"
"Tennis","WTA"
"Soccer","Indian Shillong Premier League"
"Soccer","Friendly Matches"
"Soccer","ASEAN Cup"
"Counter-Strike","CS2 STK Ranked Qualifier"
"Cricket","South Africa South Africa CSA T20 Challenge"
"Cricket","South Africa T20 Challenge"
"Tennis","Billie Jean King Cup Billie Jean King Cup"
"Tennis","ATP Laver Cup"
"Tennis","ITF Men Santa Margherita di Pula SF"
"Tennis","ITF Men"
"Soccer","India Shillong Premier League"
"Soccer","International U19 Internationals"
"Soccer","South American Games U19"
"Handball","Sweden Sweden Allsvenskan"
"Handball","Sweden Allsvenskan"
"Tennis","ITF Men Columbia QF"
"Basketball","German BBL"
"Soccer","India Mizoram Premier League"
"Soccer","India Indian Mizoram Premier League"
"Soccer","Polish III Liga"
"Handball","Denmark Denmark Håndbold Ligaen"
"Soccer","Women English Super League"
"Soccer","Mexico Liga de Expansión MX"
"Soccer","Women Swedish Division 1"
"Soccer","Women Norwegian Division 1"
"Soccer","Turkish 2 Lig"
"Handball","World IHF Super Globe"
"Soccer","Netherlands Tweede Divisie"
"Soccer","Netherlands Netherlands Tweede Divisie"
"Soccer","Turkey Turkish 2 Lig"
"Handball","Denmark Denmark Handbold Ligaen"
"Soccer","Finland Finland Ykkonen"
"Handball","Romania Romania Liga Nationala"
"Handball","Romania Liga Nationala"
"Soccer","Friendlies International U19"
"League of Legends","League of Legends [LoL] LCS"
"Soccer","Switzerland Promotion League"
"Soccer","Switzerland Switzerland Promotion League"
"Handball","Germany Bundesliga 2"
"Handball","Germany Germany 2. Bundesliga"
"Handball","Austria HLA"
"Soccer","English National League North"
"Soccer","English League 2"
"MMA","UFC Main Card"
"Soccer","Netherlands Eredivisie Women"
"Soccer","Netherlands Netherlands Eredivisie Women"
"Soccer","Denmark Danish Ladies ALiga"
"Soccer","Netherlands Dutch Ladies Eredivisie"
"Soccer","Dutch Ladies Eredivisie"
"Soccer","Netherlands Vrouwen Eredivisie"
"Soccer","Denmark 3rd Division"
"Soccer","Denmark Danish 3rd Division"
"Tennis","WTA Tour WTA 125K Jingshan, Singles"
"Tennis","WTA Jingshan 2026"
"Soccer","Danish 3rd Division"
"Soccer","Spain Spain Segunda Federacion"
"Basketball","European Estonian–Latvian Basketball League"
"Soccer","Women Spanish Division 1"
"Soccer","Spain Spain Women Primera Division"
"Soccer","Italy Serie A Women"
"Soccer","Italy Italy Serie A Women"
"Soccer","Spain Spain Primera Federacion"
"Hockey","Sweden Hockey Allsvenskan"
"Basketball","Spain Spanish LEB Oro"
"Basketball","Spain Liga FEB"
"Tennis","ITF Men Sharm El Sheikh SF"
"Soccer","Spain Spanish Liga F"
"Hockey","Canada QMJHL"
"Hockey","Canada Quebec Major Junior Hockey League"
"Soccer","Colombian Cup"
"Soccer","Spain Tercera Division"
"Soccer","Panama Panama Liga de Futbol"
"Tennis","ATP Chengdu Open QF"
"Soccer","Mexico Mexican U21"
"Soccer","Mexican U21"
"Soccer","Mexico U21 League"
"Soccer","New Zealand New Zealand National League"
"Tennis","ATP Hangzhou QF"
"Tennis","ATP Laver Cup Doubles"
"Tennis","Laver Cup"
"Soccer","English Sky Bet League 2"
"Basketball","Italy Lega A"
"Basketball","Italy Italian Lega A"
"Tennis","Laver Cup Laver Cup, Doubles"
"Basketball","Poland Super Cup"
"Basketball","Poland Polish Super Cup"
"Tennis","WTA Singapore SF"
"Basketball","Spain ACB"
"Basketball","Spain Spanish ACB"
"Basketball","Spain Liga ACB"
"Basketball","Italy Lega Basket Serie A"
"Soccer","Argentina Argentinian Primera B Metropolitana"
"Soccer","Argentinian Primera B Metropolitana"
"Soccer","Colombia Colombia Categoria Primera A"
"Soccer","Finland Finland Kansallinen Liiga"
"Soccer","Finland Kansallinen Women"
"Soccer","Germany DFB Pokal Women"
"Soccer","Germany Germany DFB Cup Women"
"Tennis","ATP Challenger Genoa SF"
"League of Legends","League of Legends CBLOL"
"Tennis","WTA 125K Ankara SF"
"Soccer","Spanish Liga F"
"Soccer","Austria Bundesliga Women"
"Soccer","Austria Austria OFB Frauen Bundesliga"
"MMA","UFC Prelims"
"Soccer","Czech Republic 4. Liga"
"Soccer","Algeria Algerian Ligue 2"
"Soccer","Algeria Ligue 2"
"Tennis","ATP Challenger San Diego SF"
