Sport,LeagueRaw
"Soccer","Swiss Challenge League"
"Cricket","European Europe Premier League T20"
"Cricket","European T20 Premier League"
"Soccer","Superliga"
"Soccer","Other Competitions Soccer"
"Soccer","International Other Competitions Soccer"
"Soccer","Spain Spain Primera Division YYUZJR"
"Soccer","German Bundesliga YYUZJR"
"Soccer","Serbia Prva Liga"
"Soccer","Serbia Serbian First League"
"Soccer","First League"
"Soccer","South Korean K1 League"
"Soccer","Vietnam Vietnam Cup"
"Soccer","Campeonato Brasileiro YYUZJR"
"Soccer","Portuguese U23"
"Soccer","South Korean K2 League"
"Soccer","Spain Spain Segunda Federación"
"Soccer","Japan Japanese Football League"
"Soccer","Turkey 3rd League"
